Time/s,Azimuth/deg,Zenith/deg
104,55.86000000,45.55200000
105,58.41000000,38.65800000
106,57.00000000,41.09000000
107,55.72000000,43.36400000
108,54.55000000,45.50600000
109,57.22000000,38.71900000
110,55.76000000,41.11100000
111,54.44000000,43.34900000
112,53.23000000,45.45800000
113,56.03000000,38.78100000
114,54.53000000,41.13100000
115,53.17000000,43.33300000
116,51.91000000,45.40900000
117,54.83000000,38.84600000
118,53.29000000,41.15300000
119,51.89000000,43.31700000
120,50.60000000,45.35800000
121,53.64000000,38.91200000
122,52.05000000,41.17500000
123,50.61000000,43.30000000
124,49.29000000,45.30600000
125,52.44000000,38.98000000
126,50.82000000,41.19800000
127,49.34000000,43.28200000
128,47.97000000,45.25200000
129,51.24000000,39.04900000
130,49.58000000,41.22200000
131,48.06000000,43.26500000
132,46.66000000,45.19700000
133,50.04000000,39.12100000
134,48.34000000,41.24600000
135,46.79000000,43.24600000
136,45.35000000,45.14100000
137,48.84000000,39.19400000
138,47.10000000,41.27100000
139,45.52000000,43.22800000
140,44.04000000,45.08300000
141,47.63000000,39.26800000
142,45.86000000,41.29600000
143,44.24000000,43.20900000
144,42.74000000,45.02300000
145,46.43000000,39.34400000
146,44.63000000,41.32200000
147,42.97000000,43.19000000
148,41.43000000,44.96300000
149,45.22000000,39.42200000
150,43.39000000,41.34800000
151,41.70000000,43.17000000
152,40.12000000,44.90100000
153,44.01000000,39.50100000
154,42.14000000,41.37500000
155,40.42000000,43.15000000
156,38.82000000,44.83700000
157,42.79000000,39.58100000
158,40.90000000,41.40300000
159,39.15000000,43.12900000
160,37.52000000,44.77300000
161,41.58000000,39.66200000
162,39.66000000,41.43100000
163,37.88000000,43.10800000
164,36.21000000,44.70700000
165,40.36000000,39.74500000
166,38.42000000,41.45900000
167,36.61000000,43.08700000
168,34.91000000,44.64000000
169,39.15000000,39.83000000
170,37.18000000,41.48800000
171,35.34000000,43.06600000
172,33.61000000,44.57100000
173,37.93000000,39.91500000
174,35.93000000,41.51800000
175,34.07000000,43.04400000
176,32.32000000,44.50200000
177,36.70000000,40.00100000
178,34.69000000,41.54800000
179,32.80000000,43.02200000
180,31.02000000,44.43100000
181,35.48000000,40.08900000
182,33.44000000,41.57800000
183,31.53000000,43.00000000
184,29.73000000,44.36000000
185,34.25000000,40.17700000
186,32.20000000,41.60900000
187,30.27000000,42.97700000
188,28.43000000,44.28700000
189,33.03000000,40.26700000
190,30.95000000,41.64000000
191,29.00000000,42.95400000
192,27.14000000,44.21300000
193,31.80000000,40.35800000
194,29.71000000,41.67200000
195,27.73000000,42.93100000
196,25.85000000,44.13900000
197,30.56000000,40.44900000
198,28.46000000,41.70400000
199,26.46000000,42.90700000
200,24.56000000,44.06300000
201,29.33000000,40.54100000
202,27.21000000,41.73700000
203,25.20000000,42.88400000
204,23.28000000,43.98600000
205,28.09000000,40.63400000
206,25.96000000,41.76900000
207,23.93000000,42.86000000
208,21.99000000,43.90900000
209,26.85000000,40.72800000
210,24.71000000,41.80300000
211,22.67000000,42.83600000
212,20.71000000,43.83100000
213,25.61000000,40.82200000
214,23.46000000,41.83600000
215,21.40000000,42.81200000
216,19.43000000,43.75100000
217,24.37000000,40.91700000
218,22.21000000,41.87000000
219,20.14000000,42.78700000
220,18.15000000,43.67200000
221,23.13000000,41.01300000
222,20.96000000,41.90400000
223,18.88000000,42.76300000
224,16.87000000,43.59100000
225,21.88000000,41.10900000
226,19.71000000,41.93900000
227,17.62000000,42.73800000
228,15.59000000,43.51000000
229,20.63000000,41.20600000
230,18.46000000,41.97300000
231,16.35000000,42.71300000
232,14.31000000,43.42800000
233,19.38000000,41.30300000
234,17.20000000,42.00800000
235,15.09000000,42.68800000
236,13.04000000,43.34500000
237,18.13000000,41.40000000
238,15.95000000,42.04300000
239,13.83000000,42.66300000
240,11.77000000,43.26200000
241,16.88000000,41.49800000
242,14.70000000,42.07900000
243,12.57000000,42.63800000
244,10.50000000,43.17800000
245,15.62000000,41.59600000
246,13.44000000,42.11400000
247,11.31000000,42.61300000
248,9.23000000,43.09400000
249,14.36000000,41.69500000
250,12.18000000,42.15000000
251,10.05000000,42.58800000
252,7.97000000,43.00900000
253,13.10000000,41.79300000
254,10.93000000,42.18600000
255,8.80000000,42.56300000
256,6.70000000,42.92400000
257,11.84000000,41.89200000
258,9.67000000,42.22200000
259,7.54000000,42.53800000
260,5.44000000,42.83900000
261,10.57000000,41.99000000
262,8.41000000,42.25800000
263,6.28000000,42.51200000
264,4.18000000,42.75300000
265,9.31000000,42.08900000
266,7.15000000,42.29400000
267,5.03000000,42.48700000
268,2.92000000,42.66700000
269,8.04000000,42.18800000
270,5.89000000,42.33100000
271,3.77000000,42.46200000
272,1.66000000,42.58100000
273,6.77000000,42.28700000
274,4.63000000,42.36700000
275,2.52000000,42.43700000
276,0.41000000,42.49500000
277,5.49000000,42.38500000
278,3.37000000,42.40400000
279,1.26000000,42.41200000
280,-0.84000000,42.40800000
281,4.22000000,42.48400000
282,2.11000000,42.44100000
283,0.01000000,42.38700000
284,-2.09000000,42.32200000
285,2.94000000,42.58200000
286,0.85000000,42.47700000
287,-1.25000000,42.36200000
288,-3.34000000,42.23500000
289,1.67000000,42.68000000
290,-0.41000000,42.51400000
